name,image,ratings,no_of_ratings,discount_price,actual_price,weight_volume,discount_price_USD,actual_price_USD
Ruchi Daliya 500grm (Pack of 2),https://m.media-amazon.com/images/I/71JYTXJaS-L._AC_UL320_.jpg,4.4,406,133.0,140.0,,1.528735632183908,1.6091954022988506
"Too Yumm! Multigrain Chips, Dahi Papdi Chaat, 54g",https://m.media-amazon.com/images/I/71kctyOY8pS._AC_UL320_.jpg,4.2,290,19.0,20.0,g,0.21839080459770116,0.22988505747126436
"Vishvanetre Pure & Natural Chestnut Oak Flour Shaahabaloot Ka Atta ,Singhra Atta....... (500 GM)",https://m.media-amazon.com/images/I/31D6jQrmmoL._AC_UL320_.jpg,3.6,13,199.0,498.0,,2.2873563218390807,5.724137931034483
"Organic Tattva, Organic Triphala Powder 100 Gram Tin | All Natural,No Artificial Additives Or Harmful Pesticides | for Gas...",https://m.media-amazon.com/images/I/81wN1B03u2L._AC_UL320_.jpg,4.1,110,110.0,135.0,,1.264367816091954,1.5517241379310345
"Dr. Oetker Funfoods Dr. Oetker Mayo Veg Original, 250g",https://m.media-amazon.com/images/I/51Lv4XU2HzL._AC_UL320_.jpg,4.1,125,88.0,89.0,g,1.0114942528735633,1.0229885057471264
True Elements Raw Seeds Combo (Chia Seeds 250g and Flax Seeds 250g) - Seeds for Eating | Mix Seeds | High Fibre,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51SMWRrH3wL._AC_UL320_.jpg,4.6,60,384.0,449.0,g,4.413793103448276,5.160919540229885
"Ritter Sport Minis, mini assorted chocolates, Ritter Sport Chocolates mini variety, product of Germany, mini chocolates fo...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61zJIkPBxwL._AC_UL320_.jpg,3.9,396,429.0,450.0,,4.931034482758621,5.172413793103448
Veganic Marshmallows Pure Veg (80 Pieces) Pack Strawberry Vanilla Flavour Mini Marshmallow Soft And Tasty Candy Perfect Fo...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Un0Y9LS0L._AC_UL320_.jpg,3.6,736,219.0,399.0,,2.5172413793103448,4.586206896551724
The Whole Truth - Energy Bars | SUPERSAVER Pack All-Flavours | Pack of 10 x 40g | Dairy Free & Sugarfree | No Artificial S...,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814Ucf-kxkL._AC_UL320_.jpg,4.4,103,570.0,600.0,g,6.551724137931035,6.896551724137931
Thanjai Organics Karuppu Kavuni Rice | Black Rice | Low GI |Traditional Kavuni Arisi (Weight: 1kg),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/819As81ccBL._AC_UL320_.jpg,4.2,155,339.0,400.0,kg,3.896551724137931,4.597701149425287
"Karachi Bakery Fruit Nankatai Biscuit, 400g",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ujxBALktL._AC_UL320_.jpg,3.8,201,195.0,215.0,g,2.2413793103448274,2.471264367816092
"Amul Kool Koko Can, 200ml",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81rq-ipykGL._AC_UL320_.jpg,4.2,139,30.0,40.0,ml,0.3448275862068966,0.45977011494252873
"Finish Rinse Aid Shine Plus Dry Lemon, 400Ml",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61VNyQZPV1L._AC_UL320_.jpg,4.6,85,345.0,379.0,,3.9655172413793105,4.35632183908046
"True Elements Muesli 1kg - With Seeds, Berries, Raisins & Almonds | 100% Wholegrain Cereal for Breakfast",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61IiO9pq6jL._AC_UL320_.jpg,4.3,652,517.0,595.0,kg,5.942528735632184,6.839080459770115
Nestle Nescafe Signature Blend Hot Coffee Premix (1 kg),https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Jdlc0zPvL._AC_UL320_.jpg,3.9,95,599.0,600.0,,6.885057471264368,6.896551724137931
"FRESH & HONEST Awake Filter Coffee Powder 70: 30 Blend, 200g",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61FQFw35aJL._AC_UL320_.jpg,3.8,15,66.0,110.0,g,0.7586206896551724,1.264367816091954
"Regency Pitted Prunes, Dried Plum, 240g",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51kvJOIbcQL._AC_UL320_.jpg,4.2,"1,237",295.0,299.0,g,3.3908045977011496,3.4367816091954024
"Qonty Defatted Soya Flour | 52% Protein, 1.5% Fat | Lab Tested | 8 gm Protein Per Roti | No Preservatives | Gluten Free | ...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Zh1KDzmTL._AC_UL320_.jpg,4.3,184,302.0,455.0,,3.471264367816092,5.2298850574712645
